126	WoodenSlab	solid
127	CocoaPlant	
128	SandstoneStairs	solid
129	EmeraldOre	solid
130	EnderChest	
131	TripwireHook	solid
132	Tripwire	
133	EmeraldBlock	solid
134	SpruceWoodStairs	solid
135	BirchWoodStairs	solid
136	JungleWoodStairs	solid
256	IronShovel	
257	IronPickaxe	
258	IronAxe	
259	FlintAndSteel	
260	RedApple	
261	Bow	
262	Arrow	
263	Coal	
264	Diamond	
265	IronIngot	
266	GoldIngot	
267	IronSword	
268	WoodenSword	
269	WoodenShovel	
270	WoodenPickaxe	
271	WoodenAxe	
272	StoneSword	
273	StoneShovel	
274	StonePickaxe	
275	StoneAxe	
276	DiamondSword	
277	DiamondShovel	
278	DiamondPickaxe	
279	DiamondAxe	
280	Stick	
281	Bowl	
282	MushroomSoup	
283	GoldenSword	
284	GoldenShovel	
285	GoldenPickaxe	
286	GoldenAxe	
287	StringItem	
288	Feather	
289	Gunpowder	
290	WoodenHoe	
291	StoneHoe	
292	IronHoe	
293	DiamondHoe	
294	GoldHoe	
295	Seeds	
296	WheatItem	
297	Bread	
298	LeatherCap	
299	LeatherTunic	
300	LeatherPants	
301	LeatherBoots	
302	ChainHelmet	
303	ChainChestplate	
304	ChainLeggings	
305	ChainBoots	
306	IronHelmet	
307	IronChestplate	
308	IronLeggings	
309	IronBoots	
310	DiamondHelmet	
311	DiamondChestplate	
312	DiamondLeggings	
313	DiamondBoots	
314	GoldenHelmet	
315	GoldenChestplate	
316	GoldenLeggings	
317	GoldenBoots	
318	Flint	
319	RawPorkchop	
320	CookedPorkchop	
321	Paintings	
322	GoldenApple	
323	Sign	
324	WoodenDoorItem	
325	Bucket	
326	WaterBucket	
327	LavaBucket	
328	Minecart	
329	Saddle	
330	IronDoorItem	
331	RedstoneDust	
332	SnowBall	
333	Boat	
334	Leather	
335	Milk	
336	ClayBrick	
337	ClayBall	
338	SugarCaneItem	
339	Paper	
340	Book	
341	Slimeball	
342	MinecartWithChest	
343	MinecartWithFurnace	
344	ChickenEgg	
345	Compass	
346	FishingRod	
347	Clock	
348	GlowstoneDust	
349	RawFish	
350	CookedFish	
351	Dye	
352	Bone	
353	Sugar	
354	CakeItem	
355	BedItem	
356	RedstoneRepeater	
357	Cookie	
358	Map	
359	Shears	
360	MelonSlice	
361	PumpkinSeeds	
362	MelonSeeds	
363	RawBeef	
364	Steak	
365	RawChicken	
366	CookedChicken	
367	RottenFlesh	
368	EnderPearl	
369	BlazeRod	
370	GhastTear	
371	GoldNugget	
372	NetherWartItem	
373	Potions	
374	GlassBottle	
375	SpiderEye	
376	FermentedSpiderEye	
377	BlazePowder	
378	MagmaCream	
379	BrewingStandItem	
380	CauldronItem	
381	EyeofEnder	
382	GlisteringMelon	
383	SpawnEgg	
384	BottleOfEnchanting	
385	FireCharge	
386	BookAndQuill	
387	WrittenBook	
388	Emerald	
2256	Disc13	
2257	DiskCat	
2258	DiskBlocks	
2259	DiskChirps	
2260	DiskFar	
2261	DiskMall	
2262	DiskMellohi	
2263	DiskStal	
2264	DiskStrad	
2265	DiskWard	
2266	Disk11	
